City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Pushkar,IN,26.5,74.55,85.35,20,2,17.69,clear sky
231,Gorontalo,ID,0.5412,123.0595,77.14,95,89,1.59,overcast clouds
232,Spassk-Dalniy,RU,44.5978,132.8211,49.21,82,23,8.57,few clouds
233,Sarkand,KZ,45.41,79.9186,53.11,54,8,6.13,clear sky
234,Port Alfred,ZA,-33.5906,26.891,62.8,86,0,11.52,clear sky
235,Mwene-Ditu,CD,-7.0,23.45,71.76,52,55,4.76,broken clouds
236,Charapan,MX,19.6667,-102.2333,64.99,37,81,5.5,broken clouds
237,Santa Maria,BR,-29.6842,-53.8069,55.78,92,85,5.37,overcast clouds
238,Istmina,CO,5.1605,-76.684,79.02,94,83,3.24,broken clouds
239,Port Hardy,CA,50.6996,-127.4199,48.38,100,100,9.22,light rain
240,Camacha,PT,33.0833,-16.3333,65.62,64,0,2.3,clear sky
241,Akdepe,TM,42.0551,59.3788,62.69,20,1,7.18,clear sky
242,Port Macquarie,AU,-31.4333,152.9167,70.9,88,87,6.76,overcast clouds
243,Nome,US,64.5011,-165.4064,40.1,75,75,4.61,broken clouds
244,Ahipara,NZ,-35.1667,173.1667,67.19,83,70,12.73,broken clouds
245,Safaga,EG,26.7292,33.9365,82.22,31,38,19.62,scattered clouds
246,Indianola,US,41.3581,-93.5574,71.31,72,99,13.85,overcast clouds
247,Bismarck,US,46.8083,-100.7837,71.44,29,20,21.85,few clouds
248,Glyadyanskoye,RU,54.9075,65.0883,50.58,92,85,6.24,light rain
249,Linguere,SN,15.3953,-15.1193,95.09,10,6,10.0,clear sky
250,Ust-Kuyga,RU,70.0167,135.6,19.9,84,81,4.34,broken clouds
251,Port Blair,IN,11.6667,92.75,82.29,80,100,9.55,overcast clouds
252,Neuquen,AR,-38.9516,-68.0591,51.69,54,0,0.0,clear sky
253,Herbertpur,IN,30.45,77.7333,82.27,15,27,7.81,scattered clouds
254,Atambua,ID,-9.1061,124.8925,72.14,89,44,3.51,scattered clouds
255,Balkanabat,TM,39.5108,54.3671,72.45,36,40,5.91,scattered clouds
256,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,86,83,27.0,broken clouds
257,The Valley,AI,18.217,-63.0578,80.46,83,20,14.97,few clouds
258,Esperance,AU,-33.8667,121.9,49.84,75,99,2.19,overcast clouds
259,Klyuchevskiy,RU,53.5317,119.4519,41.02,58,80,3.44,broken clouds
260,Dolores,AR,-36.3132,-57.6792,52.25,67,100,16.8,overcast clouds
261,Samur,RU,41.8253,48.486,59.76,59,92,2.01,overcast clouds
262,Sao Jose Dos Campos,BR,-23.1794,-45.8869,68.49,73,20,2.3,few clouds
